id,OpponentName,start,end,PersonId,"Time (seconds)",id,Gender,"Age Group","Favorite Activity",Height,zipcode,state,Event
20,"Fast person","2018-08-25 15:07:29.106 +00:00","2018-08-25 15:07:32.662 +00:00",20,4.0,20,male,Teen,Gaming,71,35242,AL,"Makevention 2018"
84,"Fast animal","2018-08-25 18:09:09.094 +00:00","2018-08-25 18:09:16.522 +00:00",84,7.0,84,female,Teen,Cooking,44,46106,IN,"Makevention 2018"
87,"Fast animal","2018-08-25 18:40:16.144 +00:00","2018-08-25 18:40:24.444 +00:00",87,8.0,87,female,Pre-Teen,Sports,11,46106,IN,"Makevention 2018"
56,"Cartoon character","2018-08-25 17:05:20.488 +00:00","2018-08-25 17:05:23.374 +00:00",56,3.0,56,female,Kid,Cooking,56,47265,IN,"Makevention 2018"
57,"Fast animal","2018-08-25 17:06:55.816 +00:00","2018-08-25 17:07:05.060 +00:00",57,9.0,57,female,Pre-Teen,Gaming,58,47265,IN,"Makevention 2018"
58,"Fast person","2018-08-25 17:07:49.084 +00:00","2018-08-25 17:07:53.014 +00:00",58,4.0,58,male,Teen,Art,56,47265,IN,"Makevention 2018"
59,"Fast animal","2018-08-25 17:09:57.142 +00:00","2018-08-25 17:10:02.668 +00:00",59,6.0,59,female,Teen,Other,58,47265,IN,"Makevention 2018"
60,"Cartoon character","2018-08-25 17:10:23.800 +00:00","2018-08-25 17:10:27.776 +00:00",60,4.0,60,male,Pre-Teen,Gaming,56,47265,IN,"Makevention 2018"
61,"Fast animal","2018-08-25 17:11:24.640 +00:00","2018-08-25 17:11:28.256 +00:00",61,4.0,61,other,Pre-Teen,Gaming,58,47265,IN,"Makevention 2018"
62,"Fast animal","2018-08-25 17:12:18.504 +00:00","2018-08-25 17:12:22.598 +00:00",62,4.0,62,male,Retired,Cooking,62,47265,IN,"Makevention 2018"
63,"Fast animal","2018-08-25 17:13:06.512 +00:00","2018-08-25 17:13:08.118 +00:00",63,2.0,63,male,Retired,Gaming,30,47265,IN,"Makevention 2018"
64,"Fast animal","2018-08-25 17:13:47.284 +00:00","2018-08-25 17:13:49.192 +00:00",64,2.0,64,male,Adult,Gaming,678,47265,IN,"Makevention 2018"
70,"Fast animal","2018-08-25 17:21:08.220 +00:00","2018-08-25 17:21:15.138 +00:00",70,7.0,70,other,Retired,Other,56,47265,IN,"Makevention 2018"
